Guid,Name,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c
15c43c72-40f9-4a02-8b69-62f5eeec464c,56,5f3632b9-b3eb-4972-84a9-6fb161808f9b,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
a83a0c45-9094-4898-95da-faabd738f3c3,57,5b64ced4-ca0f-418d-ae2f-01de79d8763c,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
1f5b3adf-3953-4bfa-bddf-a53f69ba66d0,58,894a1af7-16c7-4587-861c-abdfc1f04acf,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
97b3cf92-f472-456a-aa3f-ae6a427f761c,59,8ca45a15-b9bc-4d39-b507-89e9f56394ff,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
9c8b6b71-40d4-4e0d-a2f7-2136ca544d28,60,0996ef0e-828b-4211-b75b-b603a442cd39,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
9bd5f1c2-7395-4802-8004-f28850bcd0a2,61,49ff6f80-d4de-464e-bee2-41a54b3bb4fb,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
8680b260-769c-4063-8c0f-a4c7ce68963f,62,3660a208-0b6f-4f59-9bfd-2d9414cf4b30,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
120e9b16-62f9-4b75-9b75-e5a22f565908,63,7d57885b-8343-45c7-9a51-57b73df668d9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
c96d80ce-4a2c-4b56-a827-47af17bfcba0,64,7d57885b-8343-45c7-9a51-57b73df668d9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
d15adc36-e63c-4406-beea-da64c4597513,65,fdae54dd-5f48-4e92-86a2-e5931d5200b2,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
e4564bd7-2392-40eb-b686-d787632b6a3e,66,85ef2dff-b8aa-4f9a-9469-d12a85c642e4,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,false,#N/A,false,#N/A,#N/A,Product Option,#N/A,#N/A
86d6ec1c-2400-4362-a73b-f85cfc3c22ba,67,853389fc-d253-448b-9330-31ecac647f5f,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
23b38676-d26f-4d56-b426-18fd5e546f3c,68,16819250-3691-4a6c-a7dd-b21f5bad1465,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
4beb65eb-4b16-4c1c-864c-e7de4a170d0b,69,335e779e-c139-4095-800e-55689dd2fcd1,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
d95c8b75-2426-4851-954d-85853f82a888,70,a1afc168-d840-4660-aea4-0cf8fb400add,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
a9f6851a-e901-4086-84c6-92b796f2edbb,71,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
3ababc3a-5455-4b50-8e23-397d04dd426d,72,35e9c08c-068e-4609-b710-578384a8d24c,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
6ba12307-a2d9-4396-90b1-eaa0ddab0782,73,27c8740f-f6b8-45bf-9340-44989be5c83f,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
4e981f6f-8e71-4ffa-8905-59d727aa309c,74,8ca45a15-b9bc-4d39-b507-89e9f56394ff,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
cc1542e3-8c9b-4540-903d-4f846cd454c2,75,8e420c34-74c2-4fbb-bfe3-bdb0b7e58033,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
2537205e-2f80-4573-9ab0-81d7c07f0f73,76,808b5fa3-de52-4491-863f-0275290e7330,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
5536ecad-c048-438b-849f-cfac7e8304c7,77,a0bf9723-52c3-4410-8ef7-775c7a590bfb,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
